season,season_type,category,rank,play_game_id,play_game_key,play_play_id,play_sequence,play_play_description,play_play_type_code,play_play_type,play_quarter,play_down,play_yards_to_go,play_possession_team_id,play_game_clock,play_yardline,play_yardline_number,play_yardline_side,play_absolute_yardline_number,play_time_of_day_utc,play_is_st_play,play_is_penalty,play_is_scoring,play_is_goal_to_go,play_is_end_quarter,play_is_change_of_possession,play_home_score,play_visitor_score,play_play_direction,play_play_state,play_pre_snap_home_score,play_pre_snap_visitor_score,play_is_big_play,play_health_player_tracking_is_ok,play_health_ball_tracking_is_ok,leader_player_name,leader_first_name,leader_last_name,leader_short_name,leader_gsis_id,leader_esb_id,leader_team_id,leader_team_abbr,leader_jersey_number,leader_position,leader_position_group,leader_week,leader_headshot,leader_max_speed,leader_in_play_dist,leader_yards,leader_suffix,leader_time,leader_season_avg,leader_team_avg,play_actual_yards_to_go,play_actual_yardline_for_first_down
2018,PRE,avg_yac_above_expected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PRE,avg_yac_above_expected,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PRE,avg_yac_above_expected,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PRE,avg_yac_above_expected,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PRE,avg_yac_above_expected,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PRE,completion_pct_above_expected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PRE,completion_pct_above_expected,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PRE,completion_pct_above_expected,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PRE,completion_pct_above_expected,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PRE,completion_pct_above_expected,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PRE,fastest_ball_carriers,1,2018080954,57508,391,391,(7:50) B.Hundley pass deep left to D.Adams pushed ob at TEN 3 for 48 yards (M.Butler).,2,play_type_pass,1,1,10,1800,07:50,GB 49,49,GB,59,2018-08-10T00:20:16.000Z,false,false,false,false,false,false,0,7,right,APPROVED,0,7,true,true,true,Davante Adams,Davante,Adams,D.Adams,00-0031381,ADA218591,1800,GB,17,WR,WR,1,https://static.www.nfl.com/image/upload/{formatInstructions}/league/tdzluk4xau3arxqk9zsl,21.640909139,53.35999999999999,48,,,,,,
2018,PRE,fastest_ball_carriers,2,2018080953,57506,3079,3079,(3:20) (Shotgun) R.Nall right tackle to CIN 13 for 69 yards (B.Wilson).,2,play_type_rush,3,1,10,0810,03:20,CHI 18,18,CHI,92,2018-08-10T01:19:24.000Z,false,false,false,false,false,false,23,17,left,APPROVED,23,17,true,true,true,Ryan Nall,Ryan,Nall,R.Nall,00-0034597,NAL398377,0810,CHI,35,RB,RB,1,https://static.www.nfl.com/image/private/{formatInstructions}/league/qh4cznlh73ud2b9loalu,21.518181866,83.51999999999997,69,"",,,,,
2018,PRE,fastest_ball_carriers,3,2018082557,57548,2633,2633,"(14:12) (Shotgun) G.Smith pass short right intended for A.Patton INTERCEPTED by Ma. Williams at NO 42. Ma. Williams for 58 yards, TOUCHDOWN.",2,play_type_pass,4,2,16,4400,14:12,LAC 49,49,LAC,59,2018-08-26T02:08:58.000Z,false,false,true,false,false,true,7,28,right,APPROVED,7,22,true,true,true,Marcus Williams,Marcus,Williams,Ma. Williams,00-0031151,WIL430732,3300,NO,25,CB,DB,3,https://static.www.nfl.com/image/private/{formatInstructions}/league/sccvxg0jlpslahqpuvgb,21.518181866,65.99000000000001,58,,,,,,
2018,PRE,fastest_ball_carriers,4,2018082351,57535,3154,3154,(11:57) (Shotgun) B.Mayfield pass short right intended for D.Willies INTERCEPTED by A.Maddox [D.Ezechukwu] at PHI 16. A.Maddox to CLV 48 for 36 yards (D.Willies).,2,play_type_pass,4,3,4,1050,11:57,PHI 15,15,PHI,25,2018-08-24T02:35:56.000Z,false,false,false,false,false,true,5,0,left,APPROVED,5,0,true,true,true,Avonte Maddox,Avonte,Maddox,A.Maddox,00-0034377,MAD347585,3700,PHI,29,CB,DB,3,https://static.www.nfl.com/image/upload/{formatInstructions}/league/j2guzeu1ggx5opajjl3h,21.4977273205,56.32,36,,,,,,
2018,PRE,fastest_ball_carriers,5,2018081653,57531,393,393,S.Gostkowski kicks 64 yards from NE 35 to PHI 1. S.Gibson pushed ob at PHI 47 for 46 yards.,32,play_type_kickoff,1,0,0,3200,10:19,NE 35,35,NE,75,2018-08-16T23:48:42.000Z,true,false,false,false,false,true,7,0,left,APPROVED,7,0,true,true,true,Shelton Gibson,Shelton,Gibson,S.Gibson,00-0033573,GIB771244,3700,PHI,18,WR,WR,2,https://static.www.nfl.com/image/private/{formatInstructions}/league/ooeitkt377s485zhchsi,21.150000047,79.16999999999999,46,,,,,,
2018,PRE,fastest_sacks,1,2018081856,57530,4381,4381,"(:24) (Shotgun) K.Sloter sacked at JAX 24 for -8 yards (J.Wilson). FUMBLES (J.Wilson) [J.Wilson], RECOVERED by JAX-B.Brown at JAX 25.",2,play_type_sack,4,4,4,3000,00:24,JAX 16,16,JAX,26,2018-08-18T20:17:08.000Z,false,false,false,false,false,true,10,14,left,APPROVED,10,14,true,true,true,Jarrod Wilson,Jarrod,Wilson,J.Wilson,00-0032525,WIL722801,2250,JAX,26,SS,DB,2,https://static.www.nfl.com/image/private/{formatInstructions}/league/ubprv9h2dimzokxfgc3n,,,,,2.04,2.605,4.094333333333333,,
2018,PRE,fastest_sacks,2,2018081755,57532,3296,3296,(13:38) (Shotgun) T.Savage sacked at ARZ 13 for -8 yards (D.Nichols).,2,play_type_sack,4,3,5,3300,13:38,ARI 5,5,ARI,15,2018-08-18T02:28:11.000Z,false,false,false,true,false,false,3,20,left,APPROVED,3,20,false,true,true,Deatrick Nichols,Deatrick,Nichols,D.Nichols,00-0034481,NIC163369,3800,ARI,39,CB,DB,2,https://static.www.nfl.com/image/private/{formatInstructions}/league/bqdfnqwijuqqpwn40kyt,,,,,2.268,2.268,3.7690000000000006,,
2018,PRE,fastest_sacks,3,2018081856,57530,1650,1650,"(5:32) T.Siemian sacked at MIN 39 for -7 yards (Tel.Smith). Penalty on MIN-A.Collins, Offensive Holding, declined.",2,play_type_sack,2,1,10,3000,05:32,MIN 46,46,MIN,64,2018-08-18T18:15:25.000Z,false,false,false,false,false,false,3,7,left,APPROVED,3,7,false,true,true,Telvin Smith,Telvin,Smith,Tel.Smith,00-0031309,SMI739018,2250,JAX,50,OLB,LB,2,https://static.www.nfl.com/image/private/{formatInstructions}/league/kqwpvbbg7fefzhiz3b43,,,,,2.288,2.288,4.094333333333333,,
2018,PRE,fastest_sacks,4,2018081652,57526,1741,1741,"(6:44) (Shotgun) M.Rudolph sacked at PIT 31 for -8 yards (R.Gilbert). FUMBLES (R.Gilbert) [R.Gilbert], and recovers at PIT 28. M.Rudolph to PIT 28 for no gain (D.Lowry).",2,play_type_sack,2,1,10,3900,06:44,PIT 39,39,PIT,49,2018-08-17T01:21:55.000Z,false,false,false,false,false,false,27,14,right,APPROVED,27,14,false,true,true,Reggie Gilbert,Reggie,Gilbert,R.Gilbert,00-0032633,GIL124484,1800,GB,93,LB,LB,2,https://static.www.nfl.com/image/private/{formatInstructions}/league/xj6q07j5m3lfqzwtcipd,,,,,2.336,4.65475,5.194166666666668,,
2018,PRE,fastest_sacks,5,2018081152,57507,708,708,(4:21) (Shotgun) T.Siemian sacked at MIN 49 for -8 yards (W.Parks).,2,play_type_sack,1,3,8,3000,04:21,DEN 43,43,DEN,53,2018-08-12T01:28:31.000Z,false,false,false,false,false,false,0,7,left,APPROVED,0,7,false,true,true,Will Parks,William,Parks,W.Parks,00-0032958,PAR567787,1400,DEN,34,FS,DB,1,https://static.www.nfl.com/image/private/{formatInstructions}/league/lfhinmy4ca72xl7c9ead,,,,,2.469,2.469,4.348692307692308,,
2018,PRE,highest_separation,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PRE,highest_separation,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PRE,highest_separation,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PRE,highest_separation,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PRE,highest_separation,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PRE,longest_completions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PRE,longest_completions,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PRE,longest_completions,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PRE,longest_completions,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PRE,longest_completions,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PRE,rush_yards_over_expected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PRE,rush_yards_over_expected,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PRE,rush_yards_over_expected,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PRE,rush_yards_over_expected,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PRE,rush_yards_over_expected,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,REG,avg_yac_above_expected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,REG,avg_yac_above_expected,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,REG,avg_yac_above_expected,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,REG,avg_yac_above_expected,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,REG,avg_yac_above_expected,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,REG,completion_pct_above_expected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,REG,completion_pct_above_expected,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,REG,completion_pct_above_expected,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,REG,completion_pct_above_expected,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,REG,completion_pct_above_expected,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,REG,fastest_ball_carriers,1,2018112507,57738,153,153,(13:35) M.Breida left end pushed ob at SF 43 for 33 yards (J.Whitehead).,2,play_type_rush,1,1,10,4500,13:35,SF 10,10,SF,100,2018-11-25T18:05:58.000Z,false,false,false,false,false,false,0,0,left,APPROVED,0,0,true,true,true,Matt Breida,Matthew,Breida,M.Breida,00-0033308,BRE256819,4500,SF,22,RB,RB,12,https://static.www.nfl.com/image/private/{formatInstructions}/league/rc4m1xw0xmtsrxswd0bg,22.09090914,53.68999999999998,33,,,,,10.0,90.18
2018,REG,fastest_ball_carriers,2,2018110405,57694,1337,1337,(4:45) (Shotgun) D.Cook left tackle to DET 5 for 70 yards (G.Quin).,2,play_type_rush,2,1,10,3000,04:45,MIN 25,25,MIN,35,2018-11-04T19:00:42.000Z,false,false,false,false,false,false,7,6,right,APPROVED,7,6,true,true,true,Dalvin Cook,Dalvin,Cook,D.Cook,00-0033893,COO047079,3000,MIN,33,RB,RB,9,https://static.www.nfl.com/image/upload/{formatInstructions}/league/uurolop9ktcloxqh4fid,22.0704545945,82.6,70,,,,,10.0,44.49
2018,REG,fastest_ball_carriers,3,2018102900,57687,4364,4364,"(6:09) (Shotgun) D.Anderson pass short right intended for C.Clay INTERCEPTED by D.McCourty at NE 16. D.McCourty for 84 yards, TOUCHDOWN.",2,play_type_pass,4,3,15,0610,06:09,NE 30,30,NE,40,2018-10-30T03:07:02.000Z,false,false,true,false,false,true,6,24,left,APPROVED,6,18,true,true,true,Devin McCourty,Devin,McCourty,D.McCourty,00-0027647,MCC600258,3200,NE,32,FS,DB,8,https://static.www.nfl.com/image/private/{formatInstructions}/league/ykgtrwxckxvxdvadgqjf,22.050000049,104.46000000000005,84,,,,,15.32,24.92
2018,REG,fastest_ball_carriers,4,2018090908,57576,507,507,"(6:50) (Shotgun) P.Mahomes pass short middle to T.Hill for 58 yards, TOUCHDOWN [B.Mebane].",2,play_type_pass,1,2,4,2310,06:50,KC 42,42,KC,52,2018-09-09T20:24:40.000Z,false,false,true,false,false,false,3,13,right,APPROVED,3,7,true,true,true,Tyreek Hill,Tyreek,Hill,T.Hill,00-0033040,HIL628694,2310,KC,10,WR,WR,1,https://static.www.nfl.com/image/upload/{formatInstructions}/league/gg73gnfivrn80oyqwazl,21.9477273215,77.81999999999996,58,,,,,4.38,55.6
2018,REG,fastest_ball_carriers,5,2018112509,57740,1576,1576,(6:29) P.Lindsay right guard pushed ob at PIT 38 for 32 yards (T.Edmunds).,2,play_type_rush,2,1,5,1400,06:29,DEN 30,30,DEN,80,2018-11-25T22:25:25.000Z,false,false,false,false,false,false,3,3,left,APPROVED,3,3,true,true,true,Phillip Lindsay,Phillip,Lindsay,P.Lindsay,00-0034109,LIN303086,1400,DEN,30,RB,RB,12,https://static.www.nfl.com/image/private/{formatInstructions}/league/soywd4cnq19pigrwabb5,21.91,48.620000000000005,32,,,,,5.0,75.08
2018,REG,fastest_sacks,1,2018112202,57730,490,490,"(6:36) M.Ryan sacked at NO 7 for -4 yards (M.Williams). FUMBLES (M.Williams), touched at NO 9, RECOVERED by NO-M.Williams at NO 13. M.Williams to NO 13 for no gain (M.Sanu).",2,play_type_sack,1,3,2,0200,06:36,NO 3,3,NO,107,2018-11-23T01:37:40.000Z,false,false,false,false,false,true,7,0,right,APPROVED,7,0,false,true,true,Marcus Williams,Marcus,Williams,M.Williams,00-0033894,WIL431161,3300,NO,43,FS,DB,12,https://static.www.nfl.com/image/upload/{formatInstructions}/league/niqp2dje7qvlegxtsttn,,,,,1.542,1.542,4.466,2.4,108.81
2018,REG,fastest_sacks,2,2018101412,57658,1010,1010,"(14:25) (Shotgun) T.Brady sacked at KC 23 for -6 yards (C.Jones). FUMBLES (C.Jones), recovered by NE-D.Andrews at KC 23. D.Andrews to KC 23 for no gain (A.Hitchens).",2,play_type_sack,2,1,10,3200,14:25,KC 17,17,KC,93,2018-10-15T01:05:09.000Z,false,false,false,false,false,false,10,6,right,APPROVED,10,6,false,true,true,Chris Jones,Christopher,Jones,C.Jones,00-0032762,JON162595,2310,KC,95,DT,DL,6,https://static.www.nfl.com/image/upload/{formatInstructions}/league/oxaqzhq5bvdoqfcvgy3g,,,,Jr.,1.949,4.167647058823529,4.381982456140351,10.0,102.72
2018,REG,fastest_sacks,3,2018090901,57569,3867,3867,"(6:48) (Shotgun) B.Roethlisberger sacked at PIT 39 for -6 yards (M.Garrett). FUMBLES (M.Garrett) [M.Garrett], RECOVERED by CLV-J.Schobert at PIT 37. J.Schobert to PIT 37 for no gain (D.DeCastro).",2,play_type_sack,4,1,10,3900,06:48,PIT 45,45,PIT,65,2018-09-09T19:58:41.000Z,false,false,false,false,false,true,14,21,left,APPROVED,14,21,false,true,true,Myles Garrett,Myles,Garrett,M.Garrett,00-0033868,GAR528896,1050,CLE,95,DE,DL,1,https://static.www.nfl.com/image/upload/{formatInstructions}/league/y2d1lvpgfarfv76hjcqm,,,,,1.969,4.273000000000001,4.409767441860464,10.0,54.93
2018,REG,fastest_sacks,4,2018091613,57597,1961,1961,"(13:28) (Shotgun) E.Manning sacked at NYG 32 for -8 yards (D.Wilson). FUMBLES (D.Wilson) [D.Wilson], RECOVERED by DAL-T.Charlton at NYG 27. T.Charlton to NYG 27 for no gain (E.Flowers).",2,play_type_sack,3,2,10,3410,13:28,NYG 40,40,NYG,70,2018-09-17T01:54:25.000Z,false,false,false,false,false,true,10,0,left,APPROVED,10,0,false,true,true,Damien Wilson,Damien,Wilson,D.Wilson,00-0032215,WIL664778,1200,DAL,57,OLB,LB,2,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ag2gfb62plvohhtp0jc5,,,,,2.035,2.035,4.441022727272728,10.32,60.35
2018,REG,fastest_sacks,5,2018092303,57603,1438,1438,"(5:18) (Shotgun) E.Manning sacked at HST 12 for -6 yards (J.Watt). FUMBLES (J.Watt), and recovers at HST 12. E.Manning to HST 12 for no gain (J.Clowney).",2,play_type_sack,2,3,5,3410,05:18,HOU 6,6,HOU,104,2018-09-23T18:02:05.000Z,false,false,false,false,false,false,3,10,right,APPROVED,3,10,false,true,true,J.J. Watt,Justin,Watt,J.Watt,00-0027949,WAT579210,2120,HOU,99,DE,DL,3,https://static.www.nfl.com/image/private/{formatInstructions}/league/pooulgm7mdcx5x9gza7l,,,,,2.069,3.677588235294118,3.794659574468085,5.29,108.87
2018,REG,highest_separation,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,REG,highest_separation,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,REG,highest_separation,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,REG,highest_separation,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,REG,highest_separation,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,REG,longest_completions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,REG,longest_completions,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,REG,longest_completions,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,REG,longest_completions,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,REG,longest_completions,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,REG,rush_yards_over_expected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,REG,rush_yards_over_expected,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,REG,rush_yards_over_expected,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
