season,team_id,abbr,city_state,full_name,nick,team_type,conference_abbr,division_abbr,stadium_name,conference_id,conference_full_name,division_id,division_full_name,year_found,ticket_phone_number,team_site_url,team_site_ticket_url,logo
2014,1800,GB,Green Bay,Green Bay Packers,Packers,TEAM,NFC,NCN,Lambeau Field,0015,National Football Conference,0017,NFC North Division,1921,920-569-7501,http://www.packers.com/,http://www.packers.com/tickets/,https://static.www.nfl.com/image/private/{formatInstructions}/league/gppfvr7n8gljgjaqux2x
2014,2100,TEN,Tennessee,Tennessee Titans,Titans,TEAM,AFC,ACS,LP Field,0011,American Football Conference,0019,AFC South Division,1960,615-565-4200,http://www.titansonline.com/,http://www.titansonline.com/stadium/tickets/index.php,https://static.www.nfl.com/image/private/{formatInstructions}/league/pln44vuzugjgipyidsre
2014,2120,HOU,Houston,Houston Texans,Texans,TEAM,AFC,ACS,NRG Stadium,0011,American Football Conference,0019,AFC South Division,2002,832-667-2390,http://www.houstontexans.com/,http://www.houstontexans.com/tickets/,https://static.www.nfl.com/image/private/{formatInstructions}/league/bpx88i8nw4nnabuq0oob
2014,2200,IND,Indianapolis,Indianapolis Colts,Colts,TEAM,AFC,ACS,Lucas Oil Stadium,0011,American Football Conference,0019,AFC South Division,1944,800-745-3000,http://www.colts.com/,http://www.colts.com/tickets-and-stadium/index.html,https://static.www.nfl.com/image/private/{formatInstructions}/league/ketwqeuschqzjsllbid5
2014,2250,JAC,Jacksonville,Jacksonville Jaguars,Jaguars,TEAM,AFC,ACS,EverBank Field,0011,American Football Conference,0019,AFC South Division,1995,904-633-2000,http://www.jaguars.com/,http://prod.www.jaguars.clubs.nfl.com/tickets/index.html,https://static.www.nfl.com/image/private/{formatInstructions}/league/qycbib6ivrm9dqaexryk
2014,2310,KC,Kansas City,Kansas City Chiefs,Chiefs,TEAM,AFC,ACW,Arrowhead Stadium,0011,American Football Conference,0014,AFC Western Division,1960,816-920-9300,http://www.kcchiefs.com/,http://www.kcchiefs.com/tickets/,https://static.www.nfl.com/image/private/{formatInstructions}/league/ujshjqvmnxce8m4obmvs
2014,2510,STL,St. Louis,St. Louis Rams,Rams,TEAM,NFC,NCW,Edward Jones Dome,0015,National Football Conference,0018,NFC Western Division,1937,314-425-8830,http://www.stlouisrams.com/,http://www.stlouisrams.com/tickets/index.html,https://static.www.nfl.com/image/private/{formatInstructions}/league/ayvwcmluj2ohkdlbiegi
2014,2520,OAK,Oakland,Oakland Raiders,Raiders,TEAM,AFC,ACW,O.co Coliseum,0011,American Football Conference,0014,AFC Western Division,1960,800-724-3377,http://www.raiders.com/,http://www.raiders.com/Tickets/,https://static.www.nfl.com/image/private/{formatInstructions}/league/y2saimpyifuahldhzetn
2014,2700,MIA,Miami,Miami Dolphins,Dolphins,TEAM,AFC,ACE,Sun Life Stadium,0011,American Football Conference,0012,AFC Eastern Division,1966,888-FINS-TIX,http://www.miamidolphins.com/,http://www.miamidolphins.com/tickets-and-stadium/index.html,https://static.www.nfl.com/image/private/{formatInstructions}/league/lits6p8ycthy9to70bnt
2014,3000,MIN,Minnesota,Minnesota Vikings,Vikings,TEAM,NFC,NCN,TCF Bank Stadium,0015,National Football Conference,0017,NFC North Division,1961,612-33-VIKES (84537),http://www.vikings.com/,http://www.vikings.com/tickets/index.html,https://static.www.nfl.com/image/private/{formatInstructions}/league/havlqjq5ynlvco4l9pgu
2014,3200,NE,New England,New England Patriots,Patriots,TEAM,AFC,ACE,Gillette Stadium,0011,American Football Conference,0012,AFC Eastern Division,1960,800-543-1776,http://www.patriots.com/,http://www.patriots.com/stadium/index.cfm?ac=TicketSales,https://static.www.nfl.com/image/private/{formatInstructions}/league/moyfxx3dq5pio4aiftnc
2014,3300,NO,New Orleans,New Orleans Saints,Saints,TEAM,NFC,NCS,Mercedes-Benz Superdome,0015,National Football Conference,0020,NFC South Division,1967,504-731-1700,http://www.neworleanssaints.com/,http://www.neworleanssaints.com/tickets-and-stadium/index.html,https://static.www.nfl.com/image/private/{formatInstructions}/league/grhjkahghjkk17v43hdx
2014,3410,NYG,New York Giants,New York Giants,Giants,TEAM,NFC,NCE,MetLife Stadium,0015,National Football Conference,0016,NFC Eastern Division,1925,201-935-8111,http://www.giants.com/,http://www.giants.com/tickets/,https://static.www.nfl.com/image/private/{formatInstructions}/league/t6mhdmgizi6qhndh8b9p
2014,3430,NYJ,New York Jets,New York Jets,Jets,TEAM,AFC,ACE,MetLife Stadium,0011,American Football Conference,0012,AFC Eastern Division,1960,800-469-JETS (5387),http://www.newyorkjets.com/,http://www.newyorkjets.com/tickets-and-stadium/index.html,https://static.www.nfl.com/image/private/{formatInstructions}/league/ekijosiae96gektbo4iw
2014,3700,PHI,Philadelphia,Philadelphia Eagles,Eagles,TEAM,NFC,NCE,Lincoln Financial Field,0015,National Football Conference,0016,NFC Eastern Division,1933,215-463-5500,http://www.philadelphiaeagles.com/,http://www.philadelphiaeagles.com/tickets/index.html,https://static.www.nfl.com/image/private/{formatInstructions}/league/puhrqgj71gobgdkdo6uq
2014,3800,ARI,Arizona,Arizona Cardinals,Cardinals,TEAM,NFC,NCW,University of Phoenix Stadium,0015,National Football Conference,0018,NFC Western Division,1920,602-379-0102,http://www.azcardinals.com/,http://www.azcardinals.com/tickets/,https://static.www.nfl.com/image/private/{formatInstructions}/league/u9fltoslqdsyao8cpm0k
2014,3900,PIT,Pittsburgh,Pittsburgh Steelers,Steelers,TEAM,AFC,ACN,Heinz Field,0011,American Football Conference,0013,AFC North Division,1933,412-323-1200,http://www.steelers.com/,http://www.steelers.com/tickets/,https://static.www.nfl.com/image/private/{formatInstructions}/league/xujg9t3t4u5nmjgr54wx
2014,4400,SD,San Diego,San Diego Chargers,Chargers,TEAM,AFC,ACW,Qualcomm Stadium,0011,American Football Conference,0014,AFC Western Division,1960,1-800-745-3000,http://www.chargers.com/,http://www.chargers.com/tickets/,https://static.www.nfl.com/image/private/{formatInstructions}/league/dhfidtn8jrumakbogeu4
2014,4500,SF,San Francisco,San Francisco 49ers,49ers,TEAM,NFC,NCW,Levi's Stadium,0015,National Football Conference,0018,NFC Western Division,1946,415-GO-49ERS,http://www.sf49ers.com/,http://www.sf49ers.com/tickets/single.php?section=TI%20Single,https://static.www.nfl.com/image/private/{formatInstructions}/league/dxibuyxbk0b9ua5ih9hn
2014,4600,SEA,Seattle,Seattle Seahawks,Seahawks,TEAM,NFC,NCW,CenturyLink Field,0015,National Football Conference,0018,NFC Western Division,1976,888-NFL-HAWK,http://www.seahawks.com/,http://www.seahawks.com/Tickets/Tickets.aspx?id=49670,https://static.www.nfl.com/image/private/{formatInstructions}/league/gcytzwpjdzbpwnwxincg
2014,4900,TB,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,TEAM,NFC,NCS,Raymond James Stadium,0015,National Football Conference,0020,NFC South Division,1976,813-879-2827,http://www.buccaneers.com/,http://www.buccaneers.com/tickets/gametickets.aspx,https://static.www.nfl.com/image/private/{formatInstructions}/league/v8uqiualryypwqgvwcih
2014,5110,WAS,Washington,Washington Football Team,Football Team,TEAM,NFC,NCE,FedExField,0015,National Football Conference,0016,NFC Eastern Division,1932,301-276-6800,http://www.redskins.com/,https://www.washingtonfootball.com/tickets,https://static.www.nfl.com/image/private/{formatInstructions}/league/haxrowry8puwbrixjdmc
2014,8713,IRV,Team Irvin,Team Michael Irvin,Team Irvin,PRO,,,Aloha Stadium,,,,,2015,,,,
