season,team_id,smart_id,abbr,city_state,full_name,nick,team_type,conference_abbr,stadium_name,conference_id,conference_full_name,year_found,logo,division_abbr,division_id,division_full_name,ticket_phone_number,team_site_url,team_site_ticket_url
2024,2100,10402100-447f-396e-8149-0a434ffb2f23,TEN,Tennessee,Tennessee Titans,Titans,TEAM,AFC,Nissan Stadium,0011,American Football Conference,1960,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/TEN,ACS,0019,AFC South Division,615-565-4200,http://www.titansonline.com/,http://www.titansonline.com/stadium/tickets/index.php
2024,2120,10402120-b0bc-693d-098a-803014096eb0,HOU,Houston,Houston Texans,Texans,TEAM,AFC,NRG Stadium,0011,American Football Conference,2002,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/HOU,ACS,0019,AFC South Division,832-667-2390,http://www.houstontexans.com/,http://www.houstontexans.com/tickets/
2024,2200,10402200-2ea3-84c3-e627-6a6b3b39d56d,IND,Indianapolis,Indianapolis Colts,Colts,TEAM,AFC,Lucas Oil Stadium,0011,American Football Conference,1944,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/IND,ACS,0019,AFC South Division,800-745-3000,http://www.colts.com/,http://www.colts.com/tickets-and-stadium/index.html
2024,2250,10402250-89fe-7b86-ef98-9062cd354256,JAX,Jacksonville,Jacksonville Jaguars,Jaguars,TEAM,AFC,EverBank Stadium,0011,American Football Conference,1995,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/JAX,ACS,0019,AFC South Division,904-633-2000,http://www.jaguars.com/,http://prod.www.jaguars.clubs.nfl.com/tickets/index.html
2024,2310,10402310-a47e-10ea-7442-16b633633637,KC,Kansas City,Kansas City Chiefs,Chiefs,TEAM,AFC,GEHA Field at Arrowhead Stadium,0011,American Football Conference,1960,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/KC,ACW,0014,AFC West Division,816-920-9300,http://www.kcchiefs.com/,http://www.kcchiefs.com/tickets/
2024,2510,10402510-8931-0d5f-9815-79bb79649a65,LA,Los Angeles,Los Angeles Rams,Rams,TEAM,NFC,SoFi Stadium,0015,National Football Conference,1937,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/LA,NCW,0018,NFC West Division,314-425-8830,http://www.therams.com/,http://welcomehomerams.com/
2024,2520,10402520-96bf-e9f2-4f68-8521ca896060,LV,Las Vegas,Las Vegas Raiders,Raiders,TEAM,AFC,Allegiant Stadium,0011,American Football Conference,1960,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/LV,ACW,0014,AFC West Division,800-724-3377,http://www.raiders.com/,http://www.raiders.com/Tickets/
2024,2700,10402700-1662-d8ad-f45c-0b0ea460d045,MIA,Miami,Miami Dolphins,Dolphins,TEAM,AFC,Hard Rock Stadium,0011,American Football Conference,1966,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/MIA,ACE,0012,AFC East Division,888-FINS-TIX,http://www.miamidolphins.com/,http://www.miamidolphins.com/tickets-and-stadium/index.html
2024,3000,10403000-5851-f9d5-da45-78365a05b6b0,MIN,Minnesota,Minnesota Vikings,Vikings,TEAM,NFC,U.S. Bank Stadium,0015,National Football Conference,1961,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/MIN,NCN,0017,NFC North Division,612-33-VIKES (84537),http://www.vikings.com/,http://www.vikings.com/tickets/index.html
2024,3200,10403200-69ab-9ea6-5af5-e240fbc08bea,NE,New England,New England Patriots,Patriots,TEAM,AFC,Gillette Stadium,0011,American Football Conference,1960,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/NE,ACE,0012,AFC East Division,800-543-1776,http://www.patriots.com/,http://www.patriots.com/stadium/index.cfm?ac=TicketSales
2024,3300,10403300-f235-cf9b-6d3a-2f182be48dd1,NO,New Orleans,New Orleans Saints,Saints,TEAM,NFC,Caesars Superdome,0015,National Football Conference,1967,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/NO,NCS,0020,NFC South Division,504-731-1700,http://www.neworleanssaints.com/,http://www.neworleanssaints.com/tickets-and-stadium/index.html
2024,3410,10403410-997c-9c75-256b-3b012f468bd0,NYG,New York,New York Giants,Giants,TEAM,NFC,MetLife Stadium,0015,National Football Conference,1925,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/NYG,NCE,0016,NFC East Division,201-935-8111,http://www.giants.com/,http://www.giants.com/tickets/
2024,3430,10403430-1bc3-42c4-c7d8-39f38aed5f12,NYJ,New York,New York Jets,Jets,TEAM,AFC,MetLife Stadium,0011,American Football Conference,1960,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/NYJ,ACE,0012,AFC East Division,800-469-JETS (5387),http://www.newyorkjets.com/,http://www.newyorkjets.com/tickets-and-stadium/index.html
2024,3700,10403700-b939-3cbd-3d16-24d4d6742fa2,PHI,Philadelphia,Philadelphia Eagles,Eagles,TEAM,NFC,Lincoln Financial Field,0015,National Football Conference,1933,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/PHI,NCE,0016,NFC East Division,215-463-5500,http://www.philadelphiaeagles.com/,http://www.philadelphiaeagles.com/tickets/index.html
2024,3800,10403800-517c-7b8c-65a3-c61b95d86123,ARI,Arizona,Arizona Cardinals,Cardinals,TEAM,NFC,State Farm Stadium,0015,National Football Conference,1920,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/ARI,NCW,0018,NFC West Division,602-379-0102,http://www.azcardinals.com/,http://www.azcardinals.com/tickets/
2024,3900,10403900-8251-6892-d81c-4348525c2d47,PIT,Pittsburgh,Pittsburgh Steelers,Steelers,TEAM,AFC,Acrisure Stadium,0011,American Football Conference,1933,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/PIT,ACN,0013,AFC North Division,412-323-1200,http://www.steelers.com/,http://www.steelers.com/tickets/
2024,4400,10404400-3b35-073f-197e-194bb8240723,LAC,Los Angeles,Los Angeles Chargers,Chargers,TEAM,AFC,SoFi Stadium,0011,American Football Conference,1960,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/LAC,ACW,0014,AFC West Division,1-800-745-3000,http://www.chargers.com/,http://www.chargers.com/tickets/
2024,4500,10404500-e7cb-7fce-3f10-4eeb269bd179,SF,San Francisco,San Francisco 49ers,49ers,TEAM,NFC,Levi's® Stadium,0015,National Football Conference,1946,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/SF,NCW,0018,NFC West Division,415-GO-49ERS,http://www.sf49ers.com/,http://www.sf49ers.com/tickets/single.php?section=TI%20Single
2024,4600,10404600-adcd-28ac-5826-b4d95ec2a228,SEA,Seattle,Seattle Seahawks,Seahawks,TEAM,NFC,Lumen Field,0015,National Football Conference,1976,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/SEA,NCW,0018,NFC West Division,888-NFL-HAWK,http://www.seahawks.com/,http://www.seahawks.com/Tickets/Tickets.aspx?id=49670
2024,4900,10404900-d59e-b449-ef75-961e09ca027e,TB,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,TEAM,NFC,Raymond James Stadium,0015,National Football Conference,1976,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/TB,NCS,0020,NFC South Division,813-879-2827,http://www.buccaneers.com/,http://www.buccaneers.com/tickets/gametickets.aspx
2024,5110,10405110-ec3c-669e-2614-db3dc1736e95,WAS,Washington,Washington Commanders,Commanders,TEAM,NFC,Commanders Field,0015,National Football Conference,1932,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/WAS,NCE,0016,NFC East Division,301-276-6800,https://commanders.com,https://commanders.com/tickets
2024,8600,10408600-77a1-8b0f-8f54-99b7e0a7d1b2,AFC,AFC,AFC Pro Bowl Team,AFC,PRO,AFC,Allegiant Stadium,0011,American Football Conference,2020,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/APR,,,,,,
2024,8700,10408700-5035-ce5c-b3dd-20413011bc6a,NFC,NFC,NFC Pro Bowl Team,NFC,PRO,NFC,Allegiant Stadium,0015,National Football Conference,2020,https://static.www.nfl.com/{formatInstructions}/league/api/clubs/logos/NPR,,,,,,
